 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
24,0.023,178.821,48.003,73,254,1.424,2.895,1.426,2.892,0.172,0.168,162.394,0
25,0.046,136.359,39.134,57,254,6.831,2.994,6.831,2.984,0.277,0.212,72.652,0
26,0.025,161.282,45.014,61,254,7.288,2.977,7.286,2.975,0.183,0.171,159.299,0
27,0.021,170.606,45.569,66,254,2.298,3.033,2.300,3.034,0.206,0.133,5.232,0
28,0.023,178.253,45.561,57,254,8.002,3.106,8.000,3.107,0.180,0.162,63.570,0
29,0.024,165.304,41.748,76,254,6.425,3.151,6.426,3.149,0.187,0.166,151.447,0
30,0.025,185.791,44.747,67,254,0.485,3.202,0.487,3.201,0.212,0.152,118.275,0
31,0.018,190.757,50.022,63,254,7.559,3.246,7.559,3.247,0.161,0.142,67.772,0
32,0.040,187.905,51.650,58,254,0.942,3.366,0.942,3.368,0.305,0.169,104.093,0
33,0.020,175.717,45.985,61,254,7.726,3.515,7.729,3.513,0.188,0.138,155.140,0
34,0.025,165.608,41.719,58,254,7.167,3.593,7.168,3.595,0.259,0.121,100.971,0
35,0.039,197.348,51.307,62,254,0.836,3.598,0.837,3.600,0.271,0.182,132.717,0
